lsoa11,year,dla_pip_pct,est_qof_dep,antidep_rate,z_mh_rate,samhi_index,samhi_dec
E01000070,2017,0.930232558,5.435189935,15.7400544,-0.58708921,-1.112327904,1
E01000071,2017,0.414781297,5.665479665,15.81593991,-0.490672739,-1.032486823,1
E01000072,2017,1.08644308,6.102292463,21.7485551,0.024468558,-0.526198581,3
E01000073,2017,2.390216787,6.413186241,22.44732606,0.566420138,-0.115319783,5
E01000074,2017,1.661341853,6.584450218,20.58271329,-0.398528647,-0.721788578,2
E01000075,2017,1.245937161,5.967444051,21.00226859,-0.254924304,-0.724799176,2
E01000076,2017,1.950523311,5.894342098,22.41846345,-0.488222598,-0.83659975,2
E01000077,2017,2.206359507,6.725286264,20.59379815,-0.409626492,-0.699219226,2
E01000078,2017,1.960784314,5.721231569,23.14531105,-0.219277576,-0.687073361,2
E01000079,2017,2.643678161,5.460603938,20.76018687,-0.595008618,-0.987892837,1
E01000080,2017,1.937046005,6.220165247,21.04956955,0.410299907,-0.270290982,4
E01000081,2017,1.507808293,5.640312989,21.60315625,-0.399150667,-0.845355247,2
E01000082,2017,2.14738897,5.528847455,22.49884605,-0.185280409,-0.705314205,2
E01000083,2017,1.903754627,5.038767707,22.8955996,-0.556718359,-1.008330848,1
E01000084,2017,1.400560224,5.181587587,22.91881111,0.296463397,-0.477739882,3
E01000085,2017,1.023017903,6.485814426,19.84601109,-0.211429344,-0.650275138,2
E01000086,2017,2.136457615,6.357274189,22.12131581,0.817285523,0.018415079,6
E01000087,2017,1.815904822,6.329194924,19.45593134,-0.709161041,-0.962825761,1
E01000088,2017,2.025435704,6.191035968,19.20351423,0.137636688,-0.471404853,3
E01000089,2017,1.020956475,4.645678416,18.8704384,-0.860817173,-1.354902376,1
E01000090,2017,1.477272727,4.114072729,17.93746006,-0.779639734,-1.415092154,1
E01000091,2017,2.622632346,6.755999227,19.95753555,0.124024108,-0.377489677,4
E01000092,2017,1.141507577,6.349761952,19.09047265,-0.88877148,-1.089704135,1
E01000093,2017,2.628571429,6.581279251,19.62205445,0.000803163,-0.481773973,3
E01000094,2017,0.711111111,6.62010674,19.60293626,-0.863203625,-1.039171621,1
E01000095,2017,1.913875598,5.995425129,20.77437313,-0.57692005,-0.905644931,1
E01000096,2017,2.277777778,5.743289465,21.73099795,-0.857624245,-1.089993642,1
E01000097,2017,2.093663912,5.766913739,22.13682405,-0.422570966,-0.818962161,2
E01000098,2017,2.442996743,6.32516522,23.3797746,0.048252554,-0.423309322,3
E01000099,2017,1.137286759,5.536068896,21.07173454,-0.207746627,-0.764277479,2
E01000100,2017,1.605758583,5.983217285,23.37209412,0.056856465,-0.482888364,3
E01000101,2017,2.417302799,6.246100736,24.8447256,0.29807397,-0.257296375,4
E01000102,2017,2.150537634,5.232921061,22.63026475,0.314045476,-0.449297456,3
E01000103,2017,1.805728518,5.250871194,19.41654959,0.003983439,-0.698435786,2
E01000104,2017,1.774193548,5.397136585,19.75784727,0.003579997,-0.668952923,2
E01000105,2017,3.255208333,6.059385733,20.53282287,0.466606638,-0.249436489,4
E01000106,2017,2.317290553,6.014881908,19.74776452,-0.234195704,-0.707307103,2
E01000107,2017,1.192504259,4.480914329,18.8155425,0.388896608,-0.626773841,2
E01000108,2017,1.013874066,4.369960413,19.11186061,-0.518842171,-1.196112075,1
E01000109,2017,1.215423303,5.667066002,23.11246712,-0.305041178,-0.763370871,2
E01000110,2017,1.236174366,5.748012809,23.02806942,-0.308053537,-0.753650764,2
E01000111,2017,2.060843965,4.949997354,24.85991517,-0.127404457,-0.725622571,2
E01000112,2017,0.855106888,5.888361422,22.44081734,-0.394641758,-0.805157854,2
E01000113,2017,0.742432895,5.754078934,20.14747042,-0.545086581,-0.961722929,1
E01000114,2017,0.834376304,3.556803193,25.8482361,-0.68888118,-1.352482888,1
E01000115,2017,0.356379187,6.831430853,16.22753469,-0.776080995,-1.031742564,1
E01000116,2017,1.11919418,7.725101083,17.42623788,-0.963326482,-0.986785418,1
E01000117,2017,0.873839432,7.714594592,21.38040949,-0.352143421,-0.553037405,3
E01000118,2017,1.126231816,7.826994924,19.37359925,-0.812106875,-0.847621178,2
E01000119,2017,0.622171946,7.197525191,15.63812668,-1.181783677,-1.230652886,1
E01000120,2017,0.462351387,7.34544201,16.10563652,-0.915887119,-1.048224377,1
E01000121,2017,5.518617021,7.90360554,19.48492523,0.759208744,0.173067159,6
E01000122,2017,0.992720053,7.330747945,16.49743406,-0.548616711,-0.804412318,2
E01000123,2017,1.724137931,7.366398793,19.92037237,-0.508432037,-0.696756098,2
E01000124,2017,2.036199095,7.248483805,20.40922792,-0.698952748,-0.812102099,2
E01000125,2017,1.759708738,4.730258797,15.74710284,-0.010966929,-0.865806189,2
E01000126,2017,2.826086957,6.573496308,19.08087508,-0.446448225,-0.760324793,2
E01000127,2017,1.934235977,5.755739168,18.6619065,-0.67745453,-1.040864242,1
E01000128,2017,2.426160338,5.12809105,17.16209443,-1.301502738,-1.538945613,1
E01000129,2017,1.861252115,4.779473743,16.73964711,0.997307067,-0.227219389,4
E01000130,2017,3.480662983,5.854324354,19.05709295,-0.918195963,-1.141654923,1
E01000131,2017,1.170212766,5.583397389,15.76485189,-0.389312487,-0.962320176,1
E01000132,2017,2.512886598,6.35832749,18.67364604,-0.516390538,-0.844616174,2
E01000133,2017,2.840236686,5.587037052,18.60983171,-0.470864291,-0.928964712,1
E01000134,2017,1.666666667,5.242942568,17.88053813,-0.690242856,-1.150202147,1
E01000135,2017,1.254480287,6.211651421,21.13987829,0.351541307,-0.319455591,4
E01000136,2017,0.56675063,5.867288769,21.1345166,-0.734723301,-1.046742069,1
E01000137,2017,2.469879518,7.360793612,21.71626965,-0.719484183,-0.779536705,2
E01000138,2017,0.916830386,7.522168074,21.96119553,-0.791691105,-0.830329223,2
E01000139,2017,0.51579626,7.572121364,21.38797733,-0.968834123,-0.95425139,1
E01000140,2017,1.379990143,7.110363976,21.29484107,-1.060519526,-1.045157059,1
E01000141,2017,1.714285714,6.46225549,17.85103612,-0.829114228,-1.047762521,1
E01000142,2017,1.587916344,7.250648983,21.11602586,0.108222119,-0.319364367,4
E01000143,2017,2.241847826,7.124538301,19.52539221,-0.481925802,-0.709260561,2
E01000144,2017,1.094091904,5.485359782,21.81074551,-0.734377336,-1.078476965,1
E01000145,2017,1.032806804,6.086456955,21.95064276,-0.832506868,-1.044429751,1
E01000146,2017,2.211934156,5.726966646,21.09109169,-0.822494818,-1.084002644,1
E01000147,2017,0.627615063,5.225363441,11.48395669,-0.964076007,-1.461367763,1
E01000148,2017,2.140270003,5.451541733,13.58206424,-0.753100437,-1.22349373,1
E01000150,2017,0.871459695,5.549202113,13.18069957,-0.837385319,-1.293591086,1
E01000151,2017,3.199566161,8.17828163,20.61477847,-0.41665961,-0.509071475,3
E01000152,2017,2.324159021,7.828872057,20.84213901,-0.918280803,-0.861138401,2
E01000153,2017,2.378435518,7.379013378,20.50225384,-0.132717744,-0.445973325,3
E01000154,2017,2.560735391,7.959476619,20.31451112,-0.261568459,-0.454676463,3
E01000155,2017,0.87456847,5.763904176,15.14204251,-1.131039528,-1.40174168,1
E01000156,2017,0.475511175,5.717379873,22.00311501,-0.990263848,-1.211652988,1
E01000157,2017,0.682382134,6.059968718,21.77551949,-0.781409642,-1.03067337,1
E01000158,2017,2.469135802,7.600722868,22.36895165,-0.114196381,-0.372162847,4
E01000159,2017,1.47219193,7.207080819,21.92132638,-0.819931489,-0.873896629,1
E01000160,2017,1.292484442,7.246942803,20.82928258,-0.984983133,-0.992532907,1
E01000161,2017,0.71656051,7.197086973,20.73298122,1.180270816,0.293318638,7
E01000162,2017,2.181818182,7.022764277,19.9716365,-0.560902692,-0.7630306,2
E01000163,2017,3.786574871,6.341396836,21.10643797,-0.654663508,-0.869919301,1
E01000164,2017,1.954397394,6.273079671,21.3531046,-0.769571821,-0.970289223,1
E01000165,2017,0.792393027,6.517353755,20.47542712,-1.274220871,-1.28351708,1
E01000166,2017,0.491400491,6.123550815,21.41495701,-0.667829378,-0.965607796,1
E01000167,2017,2.188183807,6.757747568,23.27778284,0.382719459,-0.167181331,5
E01000168,2017,0.895713372,5.520279126,20.37655496,-1.039302125,-1.288650114,1
