2021 super output area - lower layer,mnemonic,Total_pop,Female,Male,Total_HHs,1_HH,2_HH,3_HH,4_HH_or_more,Age_24_below,Age_ 25_34,Age_35_49,Age_50_64,Age_65_over,"Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African",Mixed or Multiple ethnic groups,White,Other ethnic group,Unemployment,IMD_score
Bradford 049H,E01033695,2168,1172,996,737,143,196,171,227,802,255,496,402,212,610,41,98,1365,52,607,19.892
Bradford 049I,E01033696,1592,807,785,698,209,254,106,129,451,226,345,319,252,220,40,50,1267,13,480,15.584
Bradford 049J,E01033697,2824,1422,1402,792,134,152,116,390,1227,402,616,367,212,2286,64,68,293,113,1107,48.278
Bradford 050A,E01010663,1797,908,889,672,265,116,100,191,739,278,375,224,178,945,122,58,581,96,718,62.805
Bradford 050B,E01010665,1899,978,921,629,147,156,109,217,713,269,442,258,214,1183,73,70,527,47,685,33.429
Bradford 050C,E01010666,1759,939,820,688,287,145,86,170,730,243,339,234,211,687,39,69,886,78,788,73.106
Bradford 050D,E01010667,1862,934,928,598,123,140,102,233,840,293,381,214,134,1053,91,57,587,75,676,45.152
Bradford 051A,E01010735,1876,930,946,549,128,94,74,253,958,233,367,224,92,1224,119,45,401,84,827,69.178
Bradford 051B,E01010738,2064,1009,1055,573,117,87,71,298,954,250,489,250,123,1453,61,61,368,121,836,41.433
Bradford 051C,E01010739,2075,996,1079,629,117,140,111,261,1069,231,438,207,130,1231,88,127,522,107,872,66.752
Bradford 051D,E01010740,1920,932,988,536,103,93,64,276,830,279,406,237,170,1500,63,27,226,105,794,37.383
Bradford 051E,E01010744,1843,947,896,467,52,72,80,263,844,267,396,225,113,1433,33,56,250,75,695,54.662
Bradford 052A,E01010612,1448,724,724,591,234,123,93,141,643,227,280,197,102,83,86,131,1120,24,502,75.825
Bradford 052B,E01010819,1493,755,738,658,277,149,101,131,555,221,272,275,168,25,76,52,1318,21,627,75.768
Bradford 052C,E01010820,1454,733,721,619,232,166,90,131,522,185,225,297,224,92,154,45,1158,7,714,72.553
Bradford 052D,E01010821,1931,1069,862,787,254,210,148,175,812,343,390,249,137,85,104,97,1640,9,644,56.12
Bradford 052E,E01010822,1273,651,622,542,202,136,97,107,501,145,232,240,152,82,39,34,1113,5,505,67.825
Bradford 053A,E01010615,1370,696,674,541,155,184,72,130,466,172,277,259,195,355,17,41,928,31,480,36.838
Bradford 053B,E01010616,1934,1021,913,607,137,133,94,243,848,225,413,245,201,997,124,74,687,51,714,46.584
Bradford 053C,E01010742,2096,1067,1029,577,128,90,72,287,1045,281,429,218,121,1327,151,58,476,80,788,52.944
Bradford 053D,E01010743,1675,792,883,630,248,124,90,168,681,227,364,280,126,1002,111,57,425,79,739,57.235
Bradford 054A,E01010847,1619,828,791,692,228,210,122,132,503,236,299,332,248,387,8,52,1153,16,521,28.757
Bradford 054B,E01010848,1585,831,754,663,232,198,94,139,474,206,295,326,284,419,15,65,1076,9,525,27.367
Bradford 054C,E01010852,1957,1021,936,704,204,181,88,231,756,304,363,274,259,1056,43,45,789,30,716,38.244
Bradford 054D,E01010853,1430,726,704,495,107,150,76,162,528,181,278,237,206,594,36,52,724,27,486,22.942
Bradford 055A,E01010668,1475,762,713,499,109,142,88,160,536,168,292,251,222,746,9,23,648,41,501,18.18
Bradford 055B,E01010755,2006,1078,928,733,164,198,167,204,821,389,415,257,127,255,56,102,1580,17,522,52.014
Bradford 055C,E01010762,1572,801,771,612,207,151,99,155,563,214,321,295,182,699,24,39,790,24,548,30.839
Bradford 055D,E01010763,1647,847,800,644,167,238,96,143,518,212,308,284,325,481,21,45,1059,40,605,30.596
Bradford 055E,E01010846,2138,1133,1005,859,247,298,120,194,734,257,413,436,298,374,66,89,1593,18,712,30.493
Bradford 056A,E01010745,1898,966,932,614,122,148,117,227,866,242,430,232,128,979,60,82,667,109,723,47.839
Bradford 056B,E01010747,1606,819,787,646,223,187,81,155,543,186,302,304,269,659,19,43,836,49,607,33.695
Bradford 056C,E01010748,1612,847,765,698,261,176,131,130,568,192,289,307,261,95,100,76,1334,8,598,54.323
Bradford 056D,E01010749,1337,725,612,637,243,212,94,88,406,136,255,300,242,65,32,61,1167,11,484,41.74
Bradford 057A,E01010814,1625,844,781,796,359,232,88,117,462,221,282,387,272,106,25,46,1435,15,608,45.537
Bradford 057B,E01010815,2591,1326,1265,972,252,253,206,261,1017,360,561,422,231,483,116,132,1815,43,765,37.327
Bradford 057C,E01010816,1912,950,962,795,212,288,137,158,520,240,357,481,310,124,64,65,1647,12,563,17.402
Bradford 057D,E01010817,2660,1419,1241,985,283,232,202,268,1033,403,566,377,283,342,138,136,2011,32,828,45.04
Bradford 057E,E01010818,2082,1058,1024,793,203,246,136,208,656,223,428,465,308,566,38,60,1343,74,627,18.509
Bradford 058A,E01010752,2125,1077,1048,951,336,318,126,171,652,331,432,438,268,241,26,44,1794,23,606,34.208
Bradford 058B,E01010753,1316,665,651,614,185,261,91,77,276,162,186,284,410,15,1,10,1287,2,542,13.818
Bradford 058C,E01010754,1558,790,768,682,218,227,111,126,438,192,312,378,239,42,6,27,1482,1,445,18.481
Bradford 058D,E01010756,1801,902,899,750,206,236,165,143,534,292,366,368,239,74,11,53,1648,15,506,23.666
Bradford 058E,E01010758,1293,654,639,505,93,196,86,130,352,147,249,359,186,34,8,19,1232,0,362,9.606
Bradford 058F,E01010759,1557,773,784,739,292,219,125,103,457,214,263,321,302,23,6,25,1502,1,506,35.092
Bradford 058G,E01010760,1918,951,967,743,137,287,141,178,564,198,398,458,297,49,5,41,1823,1,499,12.591
Bradford 059A,E01010741,1400,738,662,652,235,225,109,83,372,160,226,356,287,156,11,40,1192,1,479,26.721
Bradford 059B,E01010845,2096,1111,985,850,301,207,130,212,814,263,419,343,257,171,98,127,1685,16,741,58.247
Bradford 059C,E01010849,1399,711,688,607,176,223,105,103,361,169,236,300,335,126,2,21,1243,7,483,23.04
Bradford 059D,E01010850,1392,721,671,506,123,122,115,146,572,202,275,248,97,67,9,52,1260,3,460,67.754
Bradford 059E,E01010851,1424,729,695,641,199,254,85,103,392,196,275,316,245,134,19,47,1216,11,481,26.665
Bradford 059F,E01010864,1239,627,612,520,153,165,99,103,410,150,253,275,146,54,43,57,1071,13,408,38.428
Bradford 059G,E01010867,1756,878,878,699,189,213,139,158,625,276,398,269,190,113,30,63,1538,12,465,29.129
Bradford 059H,E01010874,1511,805,706,608,216,150,105,137,524,239,292,218,239,52,41,48,1344,25,513,48.931
Bradford 060A,E01010746,2042,1059,983,814,216,288,135,175,597,257,341,417,430,514,39,68,1393,27,775,22.217
Bradford 060B,E01010750,1521,786,735,680,203,255,131,91,382,192,261,341,350,145,11,30,1324,19,542,23.662
Bradford 060C,E01010751,1400,716,684,675,257,237,91,90,339,167,210,322,363,56,6,35,1292,8,601,30.628
Bradford 060D,E01010865,1595,817,778,730,230,275,125,100,415,202,293,342,342,45,20,30,1496,5,542,24.256
Bradford 060E,E01010866,1324,677,647,613,215,217,102,79,326,171,255,289,283,66,10,46,1191,10,425,23.738
Bradford 061A,E01010868,1663,866,797,698,230,196,117,155,580,230,305,324,224,64,56,87,1450,5,637,55.682
Bradford 061B,E01010869,1760,941,819,778,243,298,109,128,536,242,340,302,342,68,19,56,1584,29,649,36.145
Bradford 061C,E01010870,1421,737,684,672,240,236,96,100,321,140,250,331,377,23,7,25,1366,1,528,17.77
Bradford 061D,E01010871,1715,864,851,804,284,279,132,109,413,257,351,408,281,108,14,37,1546,7,531,36.552
Bradford 061E,E01010872,1864,1007,857,725,218,194,109,204,712,260,342,277,272,45,34,36,1739,11,679,54.41
Bradford 061F,E01010873,1204,627,577,504,128,204,77,95,302,149,174,297,283,36,7,26,1129,7,442,17.79
Bradford 062A,E01010638,1431,723,708,689,249,264,92,84,270,133,226,375,430,11,0,3,1414,4,560,14.053
Bradford 062B,E01010642,2054,1061,993,890,176,452,131,131,440,210,308,484,618,10,13,30,1992,9,789,7.305
Bradford 062C,E01010645,1801,927,874,742,161,313,128,140,430,215,375,391,389,108,13,8,1666,6,568,8.68
Bradford 062D,E01010644,2058,1087,971,827,213,291,144,179,594,286,429,382,368,118,17,30,1881,12,576,15.575
Bradford 062E,E01010643,1350,668,682,670,266,245,88,71,273,245,242,322,268,37,8,15,1283,7,404,14.606
Bradford 063A,E01010640,1707,867,840,832,325,293,98,116,467,280,350,328,281,14,5,25,1659,3,461,18.993
Bradford 063B,E01010641,1520,806,714,641,184,252,95,110,349,132,276,287,478,3,11,26,1479,0,654,13.785
Bradford 063C,E01010639,1996,991,1005,985,401,330,134,120,472,274,385,384,478,41,6,19,1929,3,667,14.784
Bradford 064A,E01033693,2833,1384,1449,937,350,176,103,308,1305,528,590,269,140,2001,157,87,437,150,1181,67.256
Bradford 064B,E01010617,1717,895,822,616,220,143,59,194,732,249,400,204,134,1019,122,66,405,106,806,70.94
Bradford 064C,E01010607,2147,1065,1082,621,164,100,80,277,931,416,434,248,120,1765,56,29,256,41,876,52.623
Bradford 064D,E01033692,1114,505,609,611,345,147,62,57,373,300,267,142,35,399,105,40,515,51,355,41.046
Bradford 064E,E01010606,2043,983,1060,588,176,81,76,255,890,333,403,259,158,1491,75,46,309,120,938,63.905
Bradford 065A,E01010842,2304,1086,1218,628,189,80,63,296,1047,340,487,271,157,1831,111,76,221,65,1002,63.301
Bradford 065B,E01033691,2285,1079,1206,1007,516,184,119,188,861,546,524,220,134,1195,231,61,649,151,931,61.466
Bradford 065C,E01033690,1858,833,1025,1051,609,269,101,72,598,677,439,121,20,619,189,99,761,189,588,33.188
