,LSOA11CD,17-18_April,17-18_May,17-18_June,17-18_July,17-18_August,17-18_September,17-18_October,17-18_November,17-18_December,17-18_January,17-18_February,17-18_March,18-19_April,18-19_May,18-19_June,18-19_July,18-19_August,18-19_September,18-19_October,18-19_November,18-19_December,18-19_January,18-19_February,18-19_March,19-20_April,19-20_May,19-20_June,19-20_July,19-20_August,19-20_September,19-20_October,19-20_November,19-20_December,19-20_January,19-20_February,19-20_March,20-21_April,20-21_May,20-21_June,20-21_July,20-21_August,20-21_September,20-21_October,20-21_November,20-21_December,20-21_January,20-21_February,20-21_March,21-22_April,21-22_May,21-22_June,21-22_July,21-22_August,21-22_September,21-22_October,21-22_November,21-22_December,21-22_January,21-22_February,21-22_March,Mean_dev,MH_call_rate,%non-crime,Night-time_ratio,Temporalvolatility(CV),%attended,%highacuity,slope,lsoa_lq,Percentage change
10,E01010578,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,-23.799999999999997,0.03428927680798,80.0,0.3636363636363636,0.5920533892572338,0.8545454545454545,0.8181818181818182,0.0179541205448556,0.7690430158788601,0.2883333333333333
11,E01010579,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.8,0.0218687872763419,75.75757575757575,0.2727272727272727,0.4203282638642353,0.7575757575757576,0.6060606060606061,-0.003954490224235,0.499638343970764,0.0512820512820512
12,E01010580,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.8,0.006366892160764,93.75,0.125,0.2420614591379635,0.75,0.625,-0.0026575405322728,0.1447413619878016,0.0333333333333333
13,E01010581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-60.8,0.0109422492401215,88.88888888888889,0.2222222222222222,0.3036133560284325,0.8333333333333334,0.7777777777777778,0.0019909640860709,0.2423991881837711,0.09375
14,E01010582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,7.0,12.0,4.0,17.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,-7.799999999999997,0.042540443379269,77.46478873239437,0.1971830985915492,1.2140915587349108,0.6338028169014085,0.4225352112676056,0.0506423662981774,0.8773211081865641,0.5615721288515406
15,E01010583,4.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,5.0,3.0,1.0,6.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,22.200000000000003,0.0801587301587301,85.14851485148515,0.3168316831683168,0.6202309310678654,0.8415841584158416,0.6633663366336634,-0.0452422772387643,1.933651717657345,0.4439393939393939
16,E01010584,1.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,-2.799999999999997,0.0429621254946297,81.57894736842105,0.3026315789473684,0.4987592127432366,0.8026315789473685,0.6710526315789473,0.0014817523771091,0.9698962977715244,0.2846153846153846
17,E01010585,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-25.799999999999997,0.0263812842210054,90.56603773584906,0.2075471698113207,0.695078821042427,0.8490566037735849,0.6981132075471698,-0.0051734868523416,0.6090580945541445,0.3156565656565656
18,E01010586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-70.8,0.0049937578027465,87.5,0.0,0.3307189138830738,0.625,0.5,0.0093871217998448,0.1086134581924916,0.1428571428571428
19,E01010587,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,-42.8,0.017458777885548,83.33333333333334,0.1944444444444444,0.761386987626881,0.5833333333333334,0.5555555555555556,0.0134990644212777,0.3872162266375999,0.2270833333333333
20,E01010588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,0.0,4.0,2.0,6.0,5.0,1.0,4.0,4.0,4.0,6.0,7.0,1.0,0.0,1.0,0.0,0.0,13.200000000000003,0.0580441640378548,89.13043478260869,0.3152173913043478,0.6402958730648444,0.7065217391304348,0.4673913043478261,0.0651386718830095,1.2443582018086847,0.3610644257703082
21,E01010589,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.8,0.0132841328413284,77.77777777777779,0.2222222222222222,0.6419935712209888,0.6111111111111112,0.3888888888888889,0.0152772237734343,0.2949516080915494,0.1428571428571428
22,E01010590,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-18.799999999999997,0.0272727272727272,86.66666666666667,0.3666666666666666,1.2456821978060997,0.6833333333333333,0.5333333333333333,-0.0426512623277113,0.6120228061508562,0.5724603174603174
23,E01010591,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-50.8,0.0175768989328311,85.71428571428571,0.1428571428571428,0.4727554678967805,0.8571428571428571,0.7142857142857143,0.0006081668114682,0.3739932775427942,0.219298245614035
24,E01010592,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-66.8,0.0072072072072072,66.66666666666666,0.25,0.2763853991962833,0.75,0.5833333333333334,0.0053400027037988,0.1679431535166023,0.0909090909090909
