"","conceptId","term"
"110",10875004,"Severe mixed bipolar I disorder with psychotic features, mood-incongruent (disorder)"
"111",10981006,"Severe mixed bipolar I disorder with psychotic features (disorder)"
"112",11061003,"Psychoactive substance use disorder (disorder)"
"113",11387009,"Organic mental disorder caused by psychoactive substance (disorder)"
"114",11806006,"Separation anxiety disorder of childhood (disorder)"
"115",11941006,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission (disorder)"
"116",12348006,"Presenile dementia (disorder)"
"117",12741002,"AIDS with dementia (disorder)"
"118",12898000,"Poisoning caused by pentazocine (disorder)"
"119",12939007,"Chronic disorganized schizophrenia (disorder)"
"120",12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)"
"121",13092008,"Pick's disease (disorder)"
"122",13127006,"Factitious psychosis (disorder)"
"123",13187008,"Poisoning caused by heroin (disorder)"
"124",13313007,"Mild bipolar disorder (disorder)"
"125",13438001,"Overanxious disorder of childhood (disorder)"
"126",13581000,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent (disorder)"
"127",13601005,"Paranoid personality disorder (disorder)"
"128",13670005,"Gender identity disorder of adulthood, previously heterosexual (disorder)"
"129",13746004,"Bipolar disorder (disorder)"
"130",14070001,"Multi-infarct dementia with depression (disorder)"
"131",14077003,"Pica (disorder)"
"132",14144000,"Erotomanic delusion disorder (disorder)"
"133",14183003,"Chronic major depressive disorder, single episode (disorder)"
"134",14291003,"Subchronic disorganized schizophrenia with acute exacerbations (disorder)"
"135",14495005,"Severe bipolar I disorder, single manic episode without psychotic features (disorder)"
"136",14784000,"Organic mental disorder caused by opioid (disorder)"
"137",15167005,"Harmful pattern of use of alcohol (disorder)"
"138",15182000,"Coffin-Lowry syndrome (disorder)"
"139",15193003,"Severe recurrent major depression with psychotic features, mood-incongruent (disorder)"
"140",15277004,"Hallucinogen-induced anxiety disorder (disorder)"
"141",15639000,"Moderate major depression, single episode (disorder)"
"142",15662003,"Senile dementia (disorder)"
"143",15840001,"Symptomatic fetishism (disorder)"
"144",15945005,"Psychogenic polydipsia (disorder)"
"145",15977008,"Adjustment disorder with academic inhibition (disorder)"
"146",16209006,"Anhidrotic heat exhaustion (disorder)"
"147",16295005,"Bipolar II disorder, most recent episode major depressive (disorder)"
"148",16506000,"Mixed bipolar I disorder (disorder)"
"149",16805009,"Cluster A personality disorder (disorder)"
"150",16812000,"Absolute impotence (disorder)"
"151",16966009,"Factitious hypoglycemia (disorder)"
"152",16990005,"Subchronic schizophrenia (disorder)"
"153",17155009,"Trichotillomania (disorder)"
"154",17226007,"Adjustment disorder (disorder)"
"155",17262008,"Non-alcoholic Korsakoff's psychosis (disorder)"
"156",17435002,"Chronic paranoid schizophrenia with acute exacerbations (disorder)"
"157",17496003,"Organic anxiety disorder (disorder)"
"158",17782008,"Bipolar I disorder, most recent episode manic with catatonic features (disorder)"
"159",17827007,"Cross syndrome (disorder)"
"160",17961008,"Conduct disorder, childhood-onset type (disorder)"
"161",18003009,"Gender identity disorder of adulthood (disorder)"
"162",18052008,"Poisoning caused by meperidine (disorder)"
"163",18085000,"Compulsive gambling (disorder)"
"164",18159001,"Drug withdrawal syndrome (disorder)"
"165",18186001,"True compulsive fetishism (disorder)"
"166",18193002,"Hypochondriasis (disorder)"
"167",18260003,"Postpartum psychosis (disorder)"
"168",18393005,"Undifferentiated somatoform disorder (disorder)"
"169",18478005,"Adjustment disorder with physical complaints (disorder)"
"170",18573003,"Obsessional erotomania (disorder)"
"171",18576006,"Primary functional encopresis (finding)"
"172",18615009,"Sunstroke (disorder)"
"173",18653004,"Alcohol intoxication delirium (disorder)"
"174",18689007,"Inhalant intoxication delirium (disorder)"
"175",18768006,"Phenanthrene derivative poisoning (disorder)"
"176",18818009,"Moderate recurrent major depression (disorder)"
"177",18941000,"Oppositional defiant disorder (disorder)"
"178",19287005,"North American pulmonary blastomycosis (disorder)"
"179",19300006,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent (disorder)"
"180",19445006,"Opioid-induced psychotic disorder with hallucinations (disorder)"
"181",19480005,"Axis V diagnosis (disorder)"
"182",19527009,"Single episode of major depression in full remission (disorder)"
"183",19694002,"Late onset dysthymia (disorder)"
"184",19766004,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks (disorder)"
"185",19887002,"Claustrophobia (disorder)"
"186",19922006,"Compulsive sexual sadism (disorder)"
"187",19972008,"Postencephalitic parkinsonism (disorder)"
"188",20010003,"Borderline personality disorder (disorder)"
"189",20250007,"Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)"
"190",20260003,"Poisoning caused by psychostimulant (disorder)"
"191",20385005,"Psychotic disorder with delusions caused by opioid (disorder)"
"192",20484008,"Prion disease (disorder)"
"193",20734000,"Psychologic conversion disorder (disorder)"
"194",20871009,"Phencyclidine intoxication (disorder)"
"195",20876004,"Inhalant-induced anxiety disorder (disorder)"
"196",20960007,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent (disorder)"
"197",21000000,"Idiosyncratic intoxication (disorder)"
"198",21586000,"Munchausen's syndrome (disorder)"
"199",21634003,"Borjeson-Forssman-Lehmann syndrome (disorder)"
"200",21647008,"Amphetamine dependence (disorder)"
"201",21894002,"Chronic catatonic schizophrenia with acute exacerbations (disorder)"
"202",21897009,"Generalized anxiety disorder (disorder)"
"203",21900002,"Bipolar I disorder, most recent episode depressed with catatonic features (disorder)"
"204",22121000,"Depressed bipolar I disorder in full remission (disorder)"
"205",22230001,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission (disorder)"
"206",22407005,"Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)"
"207",22419002,"Mood disorder with mixed features due to general medical condition (disorder)"
"208",22574000,"Cocaine-induced sleep disorder (disorder)"
