LSOA21CD,NDVI_MEAN,NDVI_MEDIAN,NDVI_STD,NDVI_MAX,NDVI_MIN,NDVI_CV,VEG_FRAC,EVI_MEAN,EVI_MEDIAN,EVI_STD,EVI_MAX,EVI_MIN,PXL_COUNT,FINAL_PXL_COUNT,PCT_FILTERED
E01000001,0.20514167544081208,0.10699398480371464,0.22475348862076341,0.8600411643634225,0.0,1.0956013113269605,0.3445873526259378,0.05740056400871125,0.02116381909425919,0.08300868471149536,0.4158728353285751,0.0,5214,1866,35.78826237054085
E01000002,0.15883345556266262,0.09291686990453626,0.16648675301905427,0.8306419850334777,0.0,1.048184417000059,0.2728631201434549,0.03799342687282242,0.01807631500961409,0.052891432073444274,0.38498737305894365,0.0,8004,3346,41.80409795102449
E01000003,0.22446351013117952,0.1610006253908693,0.1940769653511171,0.8304291287386216,0.0,0.864625903950695,0.4151873767258383,0.06252641827129667,0.035736594629805205,0.07081900096579093,0.4219637901414035,0.0,2232,1014,45.43010752688172
E01000005,0.13444145741769695,0.08110831234256927,0.14254815015005626,0.7439632042928325,0.0,1.0602990542357227,0.22315628582346198,0.03093252052158943,0.014182888345211503,0.04218398043757843,0.2798604302439587,0.0,7912,2617,33.07633973710819
E01000006,0.2675806428366799,0.2576045627376426,0.16604203739335102,0.8033625730994152,0.0,0.6205308262701804,0.6173845556849049,0.07593518066225995,0.06698911103639138,0.05701406744845827,0.3251286906100231,0.0,5406,2577,47.669256381798
E01000007,0.2423299051800083,0.21095484826054775,0.1810204050084862,0.7928853754940711,0.0,0.7469998590311008,0.5201552702299194,0.06890029271788262,0.05078693011718416,0.06342787126003023,0.373649571588228,0.0,7102,3349,47.15573078006196
E01000008,0.38948928842842306,0.34781866868098055,0.2617604425634424,0.9223424570337365,0.0,0.6720606967643128,0.7146356399265156,0.14185068715386906,0.09514789973269118,0.13555015142721077,0.5771439988012587,0.0,7857,3266,41.56802850960927
E01000009,0.21189753242038026,0.15964027817878806,0.17048247686290627,0.7366255144032922,0.0,0.8045514967332829,0.42107706592386257,0.057044101559852727,0.037460706069676455,0.054405423899974215,0.30811960761139345,0.0,4446,2154,48.44804318488529
E01000011,0.274500405192518,0.1907114624505929,0.22929440226118794,0.8912058023572076,0.0018570102135561746,0.8353153508111388,0.4829086389061529,0.0809315777119552,0.0461510060919328,0.08735767514836279,0.4399128826302285,0.00041742324630058647,3528,1609,45.60657596371882
E01000012,0.3152069261036985,0.3009478672985782,0.18567464699246525,0.9053905390539054,0.0047789725209080045,0.5890563677886348,0.7070583435332517,0.09137887841771443,0.07741492284929191,0.07002333999774424,0.4944791166586654,0.0009551554515497397,4797,2451,51.09443402126329
E01000013,0.3178270621152644,0.3080652269722345,0.1694550873374249,0.8345323741007195,0.0,0.5331675855719601,0.7215441385183082,0.09611795646382683,0.08494666139865666,0.06366258701342663,0.3724894908921065,0.0,8866,3523,39.73607038123167
E01000014,0.45355989227116394,0.4549139262130819,0.23323259045228045,0.8946662193894667,0.0,0.5142266642766569,0.8101666666666667,0.16793684036630438,0.13640981160501658,0.12005884080808951,0.5158580447194346,0.0,13916,6000,43.115837884449554
E01000015,0.4095313468028549,0.3993094195879163,0.20931171110883826,0.9387865655471289,0.004235656526761648,0.5111005854445599,0.8039772727272727,0.14024287113740572,0.11889225097852052,0.09823047691599007,0.550596553247901,0.0009967560122510375,10764,4928,45.782237086584914
E01000016,0.28287604010684153,0.25773672730653074,0.1761409305313042,0.8264805733685402,0.0,0.6226788612594274,0.6056581986143187,0.08532960377362088,0.06973481303562255,0.06385871037285427,0.3521759980817648,0.0,7296,3464,47.478070175438596
E01000017,0.3121485783172906,0.28945874593406196,0.16453463004778937,0.875037730153939,0.004793028322440087,0.5271035701483938,0.6961979913916786,0.09602323832953039,0.0808747707389603,0.06686391326148833,0.46263095971763124,0.0011102139685102948,5785,2788,48.19360414866033
E01000018,0.3337683658360064,0.3199954794030301,0.1634621998434942,0.8040722243565117,0.024800708591674048,0.48974743137823207,0.7393860222077073,0.10167127372466471,0.08949729375404371,0.06320440315378567,0.3264982957137873,0.00572000572000572,6726,3062,45.52482902170681
